accion_b,action,anonymous,component,origin,target,timecreated,courseid,userid,contextid,eventname,ip
1,created,false,assignsubmission_comments,null,comment,1625005439,2,20,657,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1626819484,2,20,663,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1627425323,2,20,665,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628029370,2,20,673,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625287186,2,20,721,\assignsubmission_comments\event\comment_created,192.168.2.60
3,created,false,assignsubmission_comments,null,comment,4882610673,2,20,722,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625005439,2,20,723,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1626819484,2,20,729,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1627425323,2,20,731,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628029370,2,20,739,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625246651,2,21,657,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625246651,2,21,723,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1627099443,2,37,662,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1627776425,2,37,664,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628271958,2,37,673,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1627099443,2,37,728,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1627776425,2,37,730,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628271958,2,37,739,\assignsubmission_comments\event\comment_created,192.168.2.60
